Nr,1,2,3
Kod stacji,DsSniezkaObs,LbJarczWolaM,PmLebaRabka1
Wskaźnik,SO2,SO2,SO2
Czas uśredniania,24g,24g,24g
Jednostka,ug/m3,ug/m3,ug/m3
Kod stanowiska,DsSniezkaObs-SO2-24g,LbJarczWolaM-SO2-24g,PmLebaRabka1-SO2-24g
01/01/23 12:00,2.2,1.6,0.4
01/02/23 12:00,2,2,0.4
01/03/23 12:00,1.2,0.8,0.4
01/04/23 12:00,2,0.8,0.4
01/05/23 12:00,1.8,0.4,0.4
01/06/23 12:00,1.8,0.4,0.8
01/07/23 12:00,1.8,0.4,0.4
01/08/23 12:00,2.2,3.2,0.4
01/09/23 12:00,3,1.2,1
01/10/23 12:00,2,0.4,0.4
01/11/23 12:00,2,0.4,0.4
01/12/23 12:00,2.8,1,0.4
01/13/23 12:00,2.6,1.4,0.4
01/14/23 12:00,,1.2,0.4
01/15/23 12:00,,0.4,0.6
01/16/23 12:00,,0.4,1.2
01/17/23 12:00,,0.8,0.6
01/18/23 12:00,,0.8,1.4
01/19/23 12:00,,0.4,0.4
01/20/23 12:00,2.2,0.8,2
01/21/23 12:00,1.2,0.6,0.8
01/22/23 12:00,1.6,0.4,0.4
01/23/23 12:00,1.2,0.4,0.4
01/24/23 12:00,1.2,0.4,0.4
01/25/23 12:00,1.6,1.6,1.6
01/26/23 12:00,2.6,0.4,2.2
01/27/23 12:00,1.6,0.6,0.6
01/28/23 12:00,1.2,0.6,0.4
01/29/23 12:00,2,0.6,0.4
01/30/23 12:00,1.8,0.4,0.4
01/31/23 12:00,1.2,0.4,0.6
02/01/23 12:00,2.6,0.4,0.4
02/02/23 12:00,1.8,1,0.6
02/03/23 12:00,2.4,0.8,1
02/04/23 12:00,2,1.4,0.4
02/05/23 12:00,2.4,0.6,0.8
02/06/23 12:00,4,2.4,0.6
02/07/23 12:00,3.8,1.2,0.6
02/08/23 12:00,3.6,2.6,1.4
02/09/23 12:00,4,1.4,1
02/10/23 12:00,4.8,2.4,1.4
02/11/23 12:00,4.2,1,0.8
02/12/23 12:00,2.4,0.6,0.6
02/13/23 12:00,2.6,1,1
02/14/23 12:00,2.6,1.2,0.4
02/15/23 12:00,3.4,1.2,0.8
02/16/23 12:00,5.4,1.2,1
02/17/23 12:00,5.2,1.2,0.4
02/18/23 12:00,2.4,1.2,0.6
02/19/23 12:00,2.2,0.4,0.4
02/20/23 12:00,2.4,0.6,0.6
02/21/23 12:00,2,0.4,0.4
02/22/23 12:00,1.8,1,0.4
02/23/23 12:00,4,1.4,1
02/24/23 12:00,4.2,1.8,0.6
02/25/23 12:00,4.4,0.6,0.4
02/26/23 12:00,1.8,0.4,0.6
02/27/23 12:00,1.8,0.4,0.4
02/28/23 12:00,2,3.4,0.4
03/01/23 12:00,3.6,0.8,0.6
